sample_1,id,,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,label
1,445,81,34,159,180,180,-0.00,-0.09,-0.00,-0.00,-0.01,0.00,1
1,446,85,31,159,180,180,-0.00,-0.09,-0.02,-0.00,-0.01,0.00,1
1,447,78,32,156,180,180,0.00,-0.09,-0.02,-0.00,-0.01,0.00,1
1,448,81,34,160,180,180,0.01,-0.07,0.00,-0.00,-0.01,0.00,1
1,449,84,26,157,180,180,0.01,-0.07,-0.01,0.00,-0.01,0.00,1
1,450,79,28,157,180,180,0.02,-0.07,-0.03,0.00,-0.01,0.01,1
1,451,80,28,153,180,180,0.02,-0.05,-0.03,0.01,-0.01,0.00,1
1,452,86,39,157,180,180,0.02,-0.06,-0.02,0.01,-0.01,0.00,1
1,453,93,28,154,180,180,0.02,-0.06,-0.01,0.01,-0.01,0.00,1
1,454,80,36,162,180,180,0.02,-0.06,0.00,0.01,-0.01,0.00,1
1,455,94,29,156,180,180,0.03,-0.06,-0.01,0.01,-0.01,0.00,1
1,456,84,34,157,180,180,0.03,-0.06,-0.01,0.01,-0.01,0.00,1
1,457,86,25,156,180,180,0.02,-0.07,-0.02,0.01,-0.01,0.00,1
1,458,75,31,156,180,180,0.02,-0.08,-0.04,0.00,-0.01,0.00,1
1,459,80,27,158,180,180,0.02,-0.08,-0.03,0.00,-0.01,0.00,1
1,460,89,28,157,180,180,0.03,-0.08,-0.01,0.01,-0.01,0.00,1
1,461,81,32,161,180,180,0.03,-0.09,-0.01,0.00,-0.01,0.01,1
1,462,90,33,158,180,180,0.04,-0.09,-0.03,0.00,-0.01,0.01,1
1,463,82,33,163,180,180,0.04,-0.08,-0.03,0.00,-0.01,0.01,1
1,464,83,28,157,180,180,0.04,-0.07,-0.04,-0.00,-0.01,0.01,1
1,465,77,24,161,180,180,0.05,-0.06,-0.03,-0.00,-0.01,0.01,1
1,466,81,32,165,180,180,0.05,-0.06,-0.05,-0.00,-0.01,0.01,1
1,467,74,34,159,180,180,0.05,-0.07,-0.06,-0.00,-0.01,0.01,1
1,468,77,35,160,180,180,0.06,-0.06,-0.04,-0.00,-0.01,0.01,1
