sample_id,timestamp,sensor_thumb,sensor_index,sensor_middle,sensor_ring,sensor_pinky,sensor_accel_x,sensor_accel_y,sensor_accel_z,sensor_gyro_x,sensor_gyro_y,sensor_z,label
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,0,0,0,0,0,0,-0.71,0.09,0.74,-0.00,0.00,0.01,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,1,0,0,0,0,0,-1.42,0.19,1.49,-0.00,0.00,0.01,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,2,0,0,0,0,0,-2.12,0.28,2.24,-0.00,0.00,0.01,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,3,0,0,0,0,0,-2.84,0.37,3.00,0.01,0.00,0.02,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,4,0,0,0,0,0,-3.56,0.47,3.76,0.00,0.00,0.02,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,5,0,0,0,0,0,-4.26,0.57,4.51,0.00,0.01,0.02,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,6,0,0,0,0,0,-4.96,0.67,5.26,0.00,0.01,0.02,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,7,0,0,0,0,0,-5.66,0.76,6.01,0.01,0.02,0.02,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,8,0,0,0,0,0,-6.37,0.83,6.76,0.02,0.02,0.02,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,9,0,0,0,0,0,-7.08,0.93,7.49,0.01,0.01,0.02,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,10,0,0,0,0,0,-7.09,0.94,7.48,-0.00,0.01,0.01,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,11,0,0,0,0,0,-7.10,0.95,7.49,-0.01,0.02,0.01,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,12,0,0,0,0,0,-7.10,0.96,7.51,-0.04,0.02,0.01,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,13,0,0,0,0,0,-7.09,0.98,7.51,-0.06,0.02,0.00,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,14,0,0,0,0,0,-7.09,0.99,7.50,-0.06,0.03,-0.00,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,15,0,0,0,0,0,-7.09,0.98,7.48,-0.06,0.03,-0.01,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,16,0,0,0,0,0,-7.08,0.96,7.47,-0.05,0.03,-0.02,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,17,0,0,0,0,0,-7.08,0.95,7.46,-0.06,0.01,-0.02,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,18,0,0,0,0,0,-7.08,0.97,7.43,-0.06,0.01,-0.02,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,19,0,0,0,0,0,-7.07,0.94,7.42,-0.05,0.01,-0.02,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,20,0,0,0,0,0,-7.05,0.93,7.43,-0.03,0.01,-0.02,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,21,0,0,0,0,0,-7.04,0.90,7.42,-0.00,-0.00,-0.02,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,22,0,0,0,0,0,-7.04,0.88,7.38,0.03,-0.01,-0.02,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,23,0,0,0,0,0,-7.04,0.86,7.37,0.04,-0.01,-0.01,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,24,0,0,0,0,0,-7.03,0.84,7.36,0.05,-0.02,-0.01,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,25,0,0,0,0,0,-7.04,0.84,7.36,0.05,-0.02,0.00,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,26,0,0,0,0,0,-7.05,0.86,7.37,0.04,-0.03,0.01,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,27,0,0,0,0,0,-7.05,0.88,7.40,0.04,-0.03,0.01,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,28,0,0,0,0,0,-7.07,0.90,7.41,0.05,-0.03,0.01,5
05445e62-d6e6-4992-a70b-8e7aeb7d6377_1,29,0,0,0,0,0,-7.07,0.91,7.44,0.05,-0.02,0.01,5
