3....2....1.......SAMPLE NUMBER2...
1,58,0,0,0,0,0,-0.69,-4.90,3.37,-3.07,2.02,1.64,gestureLabel
1,59,0,0,0,0,0,-0.53,-3.79,2.86,-3.01,2.09,1.63,gestureLabel
1,60,0,0,0,0,0,-0.43,-2.51,2.48,-2.96,2.00,1.54,gestureLabel
1,61,0,0,0,0,0,-0.31,-1.12,2.19,-2.86,1.73,1.37,gestureLabel
1,62,0,0,0,0,0,-0.24,0.24,1.93,-2.66,1.36,1.18,gestureLabel
1,63,0,0,0,0,0,-0.20,1.34,1.60,-2.41,0.90,0.98,gestureLabel
1,64,0,0,0,0,0,-0.10,2.36,1.11,-1.94,0.52,0.72,gestureLabel
1,65,0,0,0,0,0,-0.21,3.02,0.78,-1.28,0.31,0.43,gestureLabel
1,66,0,0,0,0,0,-0.30,3.24,0.67,-0.47,0.21,0.12,gestureLabel
1,67,0,0,0,0,0,-0.40,3.41,0.63,0.21,0.04,-0.22,gestureLabel
1,68,0,0,0,0,0,-0.54,3.49,0.63,0.64,-0.30,-0.55,gestureLabel
1,69,0,0,0,0,0,-0.73,3.09,0.59,1.20,-0.65,-0.85,gestureLabel
1,70,0,0,0,0,0,-0.88,2.34,0.43,1.98,-0.93,-1.13,gestureLabel
1,71,0,0,0,0,0,-0.93,1.50,0.41,2.68,-1.14,-1.39,gestureLabel
1,72,0,0,0,0,0,-0.84,0.59,0.72,3.11,-1.34,-1.62,gestureLabel
1,73,0,0,0,0,0,-0.75,-0.58,1.31,3.43,-1.62,-1.83,gestureLabel
1,74,0,0,0,0,0,-0.68,-1.77,2.02,3.63,-1.89,-1.97,gestureLabel
1,75,0,0,0,0,0,-0.65,-2.96,2.71,3.44,-2.12,-1.99,gestureLabel
1,76,0,0,0,0,0,-0.53,-4.09,3.50,3.09,-2.23,-1.95,gestureLabel
1,77,0,0,0,0,0,-0.32,-5.34,4.47,2.91,-2.15,-1.88,gestureLabel
1,78,0,0,0,0,0,-0.01,-6.64,5.51,2.80,-1.90,-1.73,gestureLabel
1,79,0,0,0,0,0,0.24,-7.62,6.52,2.39,-1.61,-1.49,gestureLabel
1,80,0,0,0,0,0,0.42,-8.46,7.50,1.58,-1.27,-1.14,gestureLabel
1,81,0,0,0,0,0,0.53,-9.31,8.20,0.68,-0.87,-0.71,gestureLabel
1,82,0,0,0,0,0,0.51,-9.94,8.50,-0.19,-0.46,-0.24,gestureLabel
1,83,0,0,0,0,0,0.51,-9.86,8.47,-1.11,0.02,0.27,gestureLabel
1,84,0,0,0,0,0,0.50,-9.37,8.04,-1.86,0.53,0.75,gestureLabel
1,85,0,0,0,0,0,0.43,-8.64,7.39,-2.16,1.07,1.15,gestureLabel
1,86,0,0,0,0,0,0.20,-8.06,6.69,-2.31,1.59,1.50,gestureLabel
1,87,0,0,0,0,0,0.12,-7.30,5.89,-2.71,1.89,1.83,gestureLabel
1,88,0,0,0,0,0,0.12,-6.19,4.86,-3.26,1.96,2.10,gestureLabel
1,89,0,0,0,0,0,0.05,-4.80,3.73,-3.78,1.89,2.29,gestureLabel
1,90,0,0,0,0,0,0.13,-3.14,2.78,-3.99,1.76,2.36,gestureLabel
1,91,0,0,0,0,0,0.24,-1.31,2.05,-3.88,1.59,2.27,gestureLabel
1,92,0,0,0,0,0,0.25,0.55,1.47,-3.60,1.38,2.05,gestureLabel
1,93,0,0,0,0,0,0.13,2.17,1.02,-3.18,1.14,1.74,gestureLabel
1,94,0,0,0,0,0,-0.04,3.41,0.91,-2.73,0.88,1.39,gestureLabel
1,95,0,0,0,0,0,-0.06,4.37,0.94,-2.25,0.57,1.01,gestureLabel
1,96,0,0,0,0,0,0.08,5.24,0.85,-1.76,0.16,0.58,gestureLabel
1,97,0,0,0,0,0,-0.01,5.78,0.64,-1.13,-0.17,0.13,gestureLabel
1,98,0,0,0,0,0,-0.29,5.83,0.51,-0.27,-0.30,-0.31,gestureLabel
1,99,0,0,0,0,0,-0.48,5.45,0.52,0.65,-0.36,-0.75,gestureLabel
...DONE...
...COUNTDOWN STARTING...
3....2....1.......SAMPLE NUMBER3...
2,0,0,0,0,0,0,-0.82,4.83,0.42,0.83,-0.17,-0.74,gestureLabel
2,1,0,0,0,0,0,-1.22,3.93,0.35,0.88,0.02,-0.63,gestureLabel
